Nos.,order_id,Item,Price,City,Quantity,Bill Amount,State of Delivery,Year
72,6,Product 303,220,Gurgaon,8,1760,Haryana,2014
73,6,Product 293,165,Gurgaon,10,1650,Haryana,2014
74,6,Product 84,190,Gurgaon,7,1330,Haryana,2014
75,6,Product 103,76,Gurgaon,5,380,Haryana,2014
76,6,Product 391,234,Gurgaon,10,2340,Haryana,2014
77,6,Product 236,65,Gurgaon,4,260,Haryana,2014
78,6,Product 221,121,Gurgaon,1,121,Haryana,2014
79,7,Product 390,207,Kolkata,9,1863,West Bengal,2014
80,7,Product 107,114,Kolkata,8,912,West Bengal,2014
81,7,Product 97,94,Kolkata,1,94,West Bengal,2014
82,7,Product 46,136,Kolkata,2,272,West Bengal,2014
83,7,Product 137,113,Kolkata,2,226,West Bengal,2014
84,7,Product 112,108,Kolkata,3,324,West Bengal,2014
85,7,Product 449,157,Kolkata,5,785,West Bengal,2014
86,7,Product 455,200,Kolkata,10,2000,West Bengal,2014
87,7,Product 134,95,Kolkata,4,380,West Bengal,2014
88,7,Product 238,153,Kolkata,2,306,West Bengal,2014
89,7,Product 331,200,Kolkata,3,600,West Bengal,2014
90,7,Product 234,232,Kolkata,5,1160,West Bengal,2014
91,7,Product 173,123,Kolkata,3,369,West Bengal,2014
92,7,Product 238,153,Kolkata,10,1530,West Bengal,2014
93,8,Product 305,277,Mumbai,3,831,Maharashtra,2014
94,8,Product 457,181,Mumbai,3,543,Maharashtra,2014
95,8,Product 176,64,Mumbai,4,256,Maharashtra,2014
96,8,Product 220,94,Mumbai,3,282,Maharashtra,2014
97,8,Product 398,266,Mumbai,4,1064,Maharashtra,2014
98,8,Product 166,79,Mumbai,2,158,Maharashtra,2014
99,8,Product 200,155,Mumbai,1,155,Maharashtra,2014
100,8,Product 68,279,Mumbai,6,1674,Maharashtra,2014
101,8,Product 287,114,Mumbai,5,570,Maharashtra,2014
102,8,Product 28,76,Mumbai,7,532,Maharashtra,2014
103,8,Product 36,214,Mumbai,2,428,Maharashtra,2014
104,8,Product 463,118,Mumbai,8,944,Maharashtra,2014
105,9,Product 440,113,Barshi,1,113,Maharashtra,2014
106,9,Product 322,123,Barshi,2,246,Maharashtra,2014
107,9,Product 102,283,Barshi,5,1415,Maharashtra,2014
108,9,Product 226,213,Barshi,7,1491,Maharashtra,2014
109,9,Product 424,68,Barshi,4,272,Maharashtra,2014
110,9,Product 214,152,Barshi,8,1216,Maharashtra,2014
111,9,Product 93,174,Barshi,7,1218,Maharashtra,2014
112,9,Product 309,195,Barshi,3,585,Maharashtra,2014
113,10,Product 488,130,Hyderabad,8,1040,Telangana,2014
114,10,Product 392,50,Hyderabad,6,300,Telangana,2014
115,10,Product 359,154,Hyderabad,5,770,Telangana,2014
116,10,Product 363,266,Hyderabad,8,2128,Telangana,2014
117,10,Product 53,214,Hyderabad,3,642,Telangana,2014
118,10,Product 62,180,Hyderabad,3,540,Telangana,2014
119,10,Product 330,123,Hyderabad,9,1107,Telangana,2014
120,10,Product 135,214,Hyderabad,2,428,Telangana,2014
121,10,Product 382,103,Hyderabad,4,412,Telangana,2014
122,10,Product 200,155,Hyderabad,8,1240,Telangana,2014
123,10,Product 157,244,Hyderabad,5,1220,Telangana,2014
124,10,Product 485,271,Hyderabad,6,1626,Telangana,2014
125,10,Product 256,260,Hyderabad,6,1560,Telangana,2014
126,11,Product 120,171,Warangal,4,684,Telangana,2014
127,11,Product 142,195,Warangal,9,1755,Telangana,2014
128,11,Product 163,124,Warangal,7,868,Telangana,2014
129,11,Product 427,275,Warangal,9,2475,Telangana,2014
130,11,Product 12,68,Warangal,2,136,Telangana,2014
131,11,Product 155,257,Warangal,9,2313,Telangana,2014
132,11,Product 144,99,Warangal,9,891,Telangana,2014
133,11,Product 33,90,Warangal,7,630,Telangana,2014
134,11,Product 201,150,Warangal,2,300,Telangana,2014
135,11,Product 233,94,Warangal,8,752,Telangana,2014
136,11,Product 175,280,Warangal,6,1680,Telangana,2014
137,11,Product 341,294,Warangal,3,882,Telangana,2014
138,11,Product 7,147,Warangal,9,1323,Telangana,2014
139,12,Product 468,296,New Delhi,6,1776,New Delhi,2014
140,12,Product 23,296,New Delhi,9,2664,New Delhi,2014
141,12,Product 491,279,New Delhi,2,558,New Delhi,2014
142,12,Product 225,210,New Delhi,7,1470,New Delhi,2014
143,12,Product 351,261,New Delhi,5,1305,New Delhi,2014
144,12,Product 53,214,New Delhi,2,428,New Delhi,2014
145,12,Product 236,65,New Delhi,10,650,New Delhi,2014
146,12,Product 236,65,New Delhi,3,195,New Delhi,2014
147,13,Product 380,243,Vita,5,1215,Maharashtra,2014
148,13,Product 150,203,Vita,4,812,Maharashtra,2014
149,13,Product 81,234,Vita,9,2106,Maharashtra,2014
150,13,Product 479,68,Vita,6,408,Maharashtra,2014
151,13,Product 409,293,Vita,2,586,Maharashtra,2014
152,13,Product 325,61,Vita,10,610,Maharashtra,2014
153,13,Product 113,280,Vita,6,1680,Maharashtra,2014
154,13,Product 173,123,Vita,8,984,Maharashtra,2014
155,13,Product 97,94,Vita,3,282,Maharashtra,2014
156,14,Product 75,259,Anantapur,2,518,Maharashtra,2014
157,14,Product 483,270,Anantapur,2,540,Maharashtra,2014
158,14,Product 274,74,Anantapur,7,518,Maharashtra,2014
159,14,Product 187,103,Anantapur,3,309,Maharashtra,2014
160,14,Product 36,214,Anantapur,4,856,Maharashtra,2014
161,14,Product 249,135,Anantapur,9,1215,Maharashtra,2014
162,15,Product 128,261,Kurnool,10,2610,Andhra Pradesh,2014
163,15,Product 447,89,Kurnool,9,801,Andhra Pradesh,2014
164,15,Product 319,131,Kurnool,9,1179,Andhra Pradesh,2014
165,15,Product 25,91,Kurnool,4,364,Andhra Pradesh,2014
166,15,Product 54,201,Kurnool,2,402,Andhra Pradesh,2014
167,15,Product 375,293,Kurnool,7,2051,Andhra Pradesh,2014
168,15,Product 323,189,Kurnool,9,1701,Andhra Pradesh,2014
169,15,Product 397,255,Kurnool,9,2295,Andhra Pradesh,2014
170,15,Product 74,162,Kurnool,10,1620,Andhra Pradesh,2014
171,15,Product 93,174,Kurnool,3,522,Andhra Pradesh,2014
172,15,Product 463,118,Kurnool,1,118,Andhra Pradesh,2014
173,16,Product 68,279,Bangalore,2,558,Karnataka,2014
174,16,Product 18,285,Bangalore,8,2280,Karnataka,2014
175,16,Product 15,137,Bangalore,3,411,Karnataka,2014
176,16,Product 31,110,Bangalore,10,1100,Karnataka,2014
177,16,Product 7,147,Bangalore,10,1470,Karnataka,2014
178,16,Product 78,154,Bangalore,3,462,Karnataka,2014
179,16,Product 427,275,Bangalore,8,2200,Karnataka,2014
180,16,Product 89,206,Bangalore,8,1648,Karnataka,2014
181,16,Product 485,271,Bangalore,3,813,Karnataka,2014
182,16,Product 341,294,Bangalore,5,1470,Karnataka,2014
183,16,Product 161,132,Bangalore,6,792,Karnataka,2014
184,16,Product 485,271,Bangalore,4,1084,Karnataka,2014
185,16,Product 322,123,Bangalore,5,615,Karnataka,2014
186,17,Product 20,235,Dehli,7,1645,New Delhi,2014
187,17,Product 5,95,Dehli,10,950,New Delhi,2014
188,17,Product 474,123,Dehli,9,1107,New Delhi,2014
189,17,Product 131,85,Dehli,1,85,New Delhi,2014
190,17,Product 36,214,Dehli,4,856,New Delhi,2014
191,17,Product 236,65,Dehli,9,585,New Delhi,2014
192,17,Product 288,252,Dehli,5,1260,New Delhi,2014
193,18,Product 199,216,Chennai,9,1944,Tamil Nadu,2014
194,18,Product 175,280,Chennai,9,2520,Tamil Nadu,2014
195,18,Product 307,202,Chennai,3,606,Tamil Nadu,2014
196,18,Product 239,170,Chennai,6,1020,Tamil Nadu,2014
197,18,Product 325,61,Chennai,8,488,Tamil Nadu,2014
198,18,Product 359,154,Chennai,3,462,Tamil Nadu,2014
199,18,Product 452,99,Chennai,10,990,Tamil Nadu,2014
200,18,Product 334,248,Chennai,3,744,Tamil Nadu,2014
201,18,Product 445,214,Chennai,2,428,Tamil Nadu,2014
202,18,Product 116,199,Chennai,7,1393,Tamil Nadu,2014
203,18,Product 471,198,Chennai,8,1584,Tamil Nadu,2014
204,18,Product 14,256,Chennai,9,2304,Tamil Nadu,2014
205,18,Product 14,256,Chennai,6,1536,Tamil Nadu,2014
206,18,Product 427,275,Chennai,10,2750,Tamil Nadu,2014
207,18,Product 173,123,Chennai,7,861,Tamil Nadu,2014
208,18,Product 456,173,Chennai,3,519,Tamil Nadu,2014
209,19,Product 392,50,Thrissur,1,50,Kerela,2014
210,19,Product 270,162,Thrissur,3,486,Kerela,2014
211,19,Product 92,265,Thrissur,9,2385,Kerela,2014
212,19,Product 380,243,Thrissur,3,729,Kerela,2014
213,19,Product 140,204,Thrissur,9,1836,Kerela,2014
214,19,Product 396,142,Thrissur,3,426,Kerela,2014
215,19,Product 19,188,Thrissur,6,1128,Kerela,2014
216,19,Product 120,171,Thrissur,4,684,Kerela,2014
217,19,Product 87,134,Thrissur,9,1206,Kerela,2014
218,19,Product 299,241,Thrissur,4,964,Kerela,2014
219,19,Product 178,163,Thrissur,4,652,Kerela,2014
220,19,Product 406,149,Thrissur,2,298,Kerela,2014
221,19,Product 170,114,Thrissur,4,456,Kerela,2014
222,19,Product 36,214,Thrissur,1,214,Kerela,2014
223,19,Product 9,299,Thrissur,9,2691,Kerela,2014
224,20,Product 377,119,Bijapur,10,1190,Karnataka,2014
225,20,Product 382,103,Bijapur,4,412,Karnataka,2014
226,20,Product 500,251,Bijapur,7,1757,Karnataka,2014
227,20,Product 430,296,Bijapur,2,592,Karnataka,2014
228,20,Product 462,58,Bijapur,6,348,Karnataka,2014
229,20,Product 485,271,Bijapur,8,2168,Karnataka,2014
230,20,Product 237,66,Bijapur,6,396,Karnataka,2014
231,20,Product 102,283,Bijapur,8,2264,Karnataka,2014
232,20,Product 445,214,Bijapur,7,1498,Karnataka,2014
233,20,Product 441,292,Bijapur,10,2920,Karnataka,2014
234,20,Product 75,259,Bijapur,7,1813,Karnataka,2014
235,20,Product 93,174,Bijapur,5,870,Karnataka,2014
236,20,Product 420,131,Bijapur,7,917,Karnataka,2014
237,21,Product 131,85,Nasik,8,680,Maharashtra,2014
238,21,Product 79,95,Nasik,10,950,Maharashtra,2014
239,21,Product 77,97,Nasik,1,97,Maharashtra,2014
240,21,Product 484,50,Nasik,7,350,Maharashtra,2014
241,21,Product 172,289,Nasik,5,1445,Maharashtra,2014
242,21,Product 231,108,Nasik,4,432,Maharashtra,2014
243,21,Product 377,119,Nasik,1,119,Maharashtra,2014
244,21,Product 193,145,Nasik,9,1305,Maharashtra,2014
245,21,Product 490,224,Nasik,6,1344,Maharashtra,2014
246,21,Product 485,271,Nasik,2,542,Maharashtra,2014
247,21,Product 254,57,Nasik,7,399,Maharashtra,2014
248,22,Product 341,294,Secundrabad,7,2058,Telangana,2014
249,22,Product 271,277,Secundrabad,10,2770,Telangana,2014
250,22,Product 343,217,Secundrabad,2,434,Telangana,2014
251,22,Product 175,280,Secundrabad,9,2520,Telangana,2014
252,22,Product 338,138,Secundrabad,2,276,Telangana,2014
253,22,Product 341,294,Secundrabad,2,588,Telangana,2014
254,22,Product 54,201,Secundrabad,10,2010,Telangana,2014
255,23,Product 401,222,Belgaum,3,666,Karnataka,2015
256,23,Product 403,249,Belgaum,1,249,Karnataka,2015
257,23,Product 37,82,Belgaum,8,656,Karnataka,2015
258,23,Product 313,163,Belgaum,8,1304,Karnataka,2015
259,23,Product 456,173,Belgaum,2,346,Karnataka,2015
260,23,Product 96,296,Belgaum,6,1776,Karnataka,2015
261,23,Product 257,122,Belgaum,8,976,Karnataka,2015
262,23,Product 294,106,Belgaum,3,318,Karnataka,2015
263,23,Product 134,95,Belgaum,9,855,Karnataka,2015
264,23,Product 293,165,Belgaum,5,825,Karnataka,2015
265,23,Product 441,292,Belgaum,3,876,Karnataka,2015
266,23,Product 236,65,Belgaum,6,390,Karnataka,2015
267,23,Product 467,211,Belgaum,4,844,Karnataka,2015
268,24,Product 15,137,Amravati,9,1233,Maharashtra,2015
269,24,Product 257,122,Amravati,5,610,Maharashtra,2015
270,24,Product 462,58,Amravati,9,522,Maharashtra,2015
271,24,Product 409,293,Amravati,1,293,Maharashtra,2015
272,24,Product 138,258,Amravati,7,1806,Maharashtra,2015
273,24,Product 283,157,Amravati,3,471,Maharashtra,2015
274,24,Product 382,103,Amravati,5,515,Maharashtra,2015
275,24,Product 460,76,Amravati,2,152,Maharashtra,2015
276,24,Product 429,266,Amravati,7,1862,Maharashtra,2015
277,24,Product 269,84,Amravati,8,672,Maharashtra,2015
278,24,Product 173,123,Amravati,8,984,Maharashtra,2015
279,24,Product 453,143,Amravati,2,286,Maharashtra,2015
280,25,Product 457,181,Katol,2,362,Maharashtra,2015
281,25,Product 147,243,Katol,10,2430,Maharashtra,2015
282,25,Product 162,266,Katol,7,1862,Maharashtra,2015
283,25,Product 3,140,Katol,6,840,Maharashtra,2015
284,25,Product 269,84,Katol,1,84,Maharashtra,2015
285,25,Product 116,199,Katol,10,1990,Maharashtra,2015
286,25,Product 419,233,Katol,2,466,Maharashtra,2015
287,25,Product 432,120,Katol,3,360,Maharashtra,2015
288,25,Product 213,71,Katol,5,355,Maharashtra,2015
289,25,Product 36,214,Katol,8,1712,Maharashtra,2015
290,25,Product 253,98,Katol,10,980,Maharashtra,2015
291,26,Product 359,154,Chandigarh,6,924,Haryana,2015
292,26,Product 398,266,Chandigarh,4,1064,Haryana,2015
293,26,Product 30,204,Chandigarh,4,816,Haryana,2015
294,26,Product 306,235,Chandigarh,10,2350,Haryana,2015
295,26,Product 480,69,Chandigarh,3,207,Haryana,2015
296,26,Product 451,83,Chandigarh,1,83,Haryana,2015
297,26,Product 485,271,Chandigarh,2,542,Haryana,2015
298,26,Product 250,150,Chandigarh,4,600,Haryana,2015
299,26,Product 120,171,Chandigarh,4,684,Haryana,2015
300,26,Product 392,50,Chandigarh,10,500,Haryana,2015
301,26,Product 377,119,Chandigarh,3,357,Haryana,2015
302,26,Product 93,174,Chandigarh,1,174,Haryana,2015
303,26,Product 173,123,Chandigarh,3,369,Haryana,2015
304,27,Product 115,280,Dombivli,1,280,Maharashtra,2015
305,27,Product 87,134,Dombivli,1,134,Maharashtra,2015
306,27,Product 54,201,Dombivli,2,402,Maharashtra,2015
307,27,Product 419,233,Dombivli,5,1165,Maharashtra,2015
308,27,Product 66,159,Dombivli,1,159,Maharashtra,2015
309,27,Product 182,259,Dombivli,4,1036,Maharashtra,2015
310,27,Product 485,271,Dombivli,6,1626,Maharashtra,2015
311,27,Product 321,282,Dombivli,6,1692,Maharashtra,2015
312,28,Product 60,121,Delhi,8,968,New Delhi,2015
313,28,Product 347,75,Delhi,8,600,New Delhi,2015
314,28,Product 498,56,Delhi,9,504,New Delhi,2015
315,28,Product 376,90,Delhi,2,180,New Delhi,2015
316,28,Product 156,287,Delhi,2,574,New Delhi,2015
317,28,Product 17,185,Delhi,8,1480,New Delhi,2015
318,28,Product 424,68,Delhi,3,204,New Delhi,2015
319,28,Product 215,150,Delhi,3,450,New Delhi,2015
320,28,Product 489,179,Delhi,5,895,New Delhi,2015
321,28,Product 381,282,Delhi,8,2256,New Delhi,2015
322,28,Product 203,289,Delhi,4,1156,New Delhi,2015
323,28,Product 422,185,Delhi,9,1665,New Delhi,2015
324,28,Product 416,294,Delhi,9,2646,New Delhi,2015
325,28,Product 236,65,Delhi,5,325,New Delhi,2015
326,28,Product 290,73,Delhi,10,730,New Delhi,2015
327,29,Product 260,190,Puri,7,1330,Odhisha,2015
328,29,Product 13,62,Puri,9,558,Odhisha,2015
329,29,Product 70,90,Puri,4,360,Odhisha,2015
330,29,Product 488,130,Puri,7,910,Odhisha,2015
331,29,Product 63,186,Puri,10,1860,Odhisha,2015
332,29,Product 252,244,Puri,2,488,Odhisha,2015
333,29,Product 231,108,Puri,10,1080,Odhisha,2015
334,29,Product 219,203,Puri,3,609,Odhisha,2015
335,29,Product 197,158,Puri,4,632,Odhisha,2015
336,29,Product 269,84,Puri,8,672,Odhisha,2015
337,29,Product 196,215,Puri,10,2150,Odhisha,2015
338,29,Product 173,123,Puri,2,246,Odhisha,2015
339,29,Product 238,153,Puri,3,459,Odhisha,2015
340,30,Product 227,180,Navi Mumbai,6,1080,Maharashtra,2015
341,30,Product 77,97,Navi Mumbai,9,873,Maharashtra,2015
342,30,Product 68,279,Navi Mumbai,10,2790,Maharashtra,2015
343,30,Product 414,130,Navi Mumbai,2,260,Maharashtra,2015
344,30,Product 481,140,Navi Mumbai,7,980,Maharashtra,2015
345,30,Product 354,82,Navi Mumbai,8,656,Maharashtra,2015
346,30,Product 372,91,Navi Mumbai,8,728,Maharashtra,2015
347,30,Product 86,274,Navi Mumbai,3,822,Maharashtra,2015
348,30,Product 399,103,Navi Mumbai,4,412,Maharashtra,2015
349,30,Product 300,79,Navi Mumbai,10,790,Maharashtra,2015
350,30,Product 392,50,Navi Mumbai,2,100,Maharashtra,2015
351,30,Product 36,214,Navi Mumbai,7,1498,Maharashtra,2015
352,30,Product 208,159,Navi Mumbai,1,159,Maharashtra,2015
353,31,Product 127,179,Pune,2,358,Maharashtra,2015
354,31,Product 217,68,Pune,1,68,Maharashtra,2015
355,31,Product 7,147,Pune,1,147,Maharashtra,2015
356,31,Product 113,280,Pune,3,840,Maharashtra,2015
357,31,Product 320,283,Pune,9,2547,Maharashtra,2015
358,31,Product 95,77,Pune,3,231,Maharashtra,2015
359,31,Product 14,256,Pune,3,768,Maharashtra,2015
360,31,Product 414,130,Pune,1,130,Maharashtra,2015
361,31,Product 147,243,Pune,3,729,Maharashtra,2015
362,31,Product 94,284,Pune,9,2556,Maharashtra,2015
363,31,Product 309,195,Pune,4,780,Maharashtra,2015
364,31,Product 341,294,Pune,3,882,Maharashtra,2015
365,31,Product 251,210,Pune,2,420,Maharashtra,2015
366,31,Product 133,276,Pune,4,1104,Maharashtra,2015
367,31,Product 447,89,Pune,5,445,Maharashtra,2015
368,31,Product 96,296,Pune,7,2072,Maharashtra,2015
369,31,Product 93,174,Pune,7,1218,Maharashtra,2015
370,31,Product 261,121,Pune,2,242,Maharashtra,2015
371,32,Product 68,279,Nashik,5,1395,Maharashtra,2015
372,32,Product 466,180,Nashik,7,1260,Maharashtra,2015
373,32,Product 369,218,Nashik,7,1526,Maharashtra,2015
374,32,Product 380,243,Nashik,10,2430,Maharashtra,2015
375,32,Product 117,52,Nashik,4,208,Maharashtra,2015
376,32,Product 371,97,Nashik,3,291,Maharashtra,2015
377,32,Product 99,125,Nashik,8,1000,Maharashtra,2015
378,32,Product 301,195,Nashik,9,1755,Maharashtra,2015
379,32,Product 471,198,Nashik,9,1782,Maharashtra,2015
380,32,Product 425,62,Nashik,9,558,Maharashtra,2015
381,32,Product 483,270,Nashik,3,810,Maharashtra,2015
382,32,Product 218,192,Nashik,3,576,Maharashtra,2015
383,32,Product 485,271,Nashik,1,271,Maharashtra,2015
384,32,Product 81,234,Nashik,1,234,Maharashtra,2015
385,33,Product 294,106,Raipur,9,954,Chattisgarh,2015
386,33,Product 166,79,Raipur,8,632,Chattisgarh,2015
387,33,Product 135,214,Raipur,1,214,Chattisgarh,2015
388,33,Product 435,223,Raipur,9,2007,Chattisgarh,2015
389,33,Product 254,57,Raipur,4,228,Chattisgarh,2015
390,33,Product 470,167,Raipur,9,1503,Chattisgarh,2015
391,33,Product 212,259,Raipur,5,1295,Chattisgarh,2015
392,33,Product 341,294,Raipur,10,2940,Chattisgarh,2015
393,33,Product 65,191,Raipur,9,1719,Chattisgarh,2015
394,34,Product 80,245,Calicut,6,1470,Kerela,2015
395,34,Product 206,85,Calicut,3,255,Kerela,2015
396,34,Product 270,162,Calicut,7,1134,Kerela,2015
397,34,Product 252,244,Calicut,2,488,Kerela,2015
398,34,Product 136,288,Calicut,8,2304,Kerela,2015
399,34,Product 372,91,Calicut,1,91,Kerela,2015
400,34,Product 293,165,Calicut,2,330,Kerela,2015
401,34,Product 247,111,Calicut,7,777,Kerela,2015
402,34,Product 8,88,Calicut,7,616,Kerela,2015
403,34,Product 363,266,Calicut,9,2394,Kerela,2015
404,34,Product 54,201,Calicut,2,402,Kerela,2015
405,34,Product 152,297,Calicut,1,297,Kerela,2015
406,34,Product 85,94,Calicut,4,376,Kerela,2015
407,34,Product 236,65,Calicut,2,130,Kerela,2015
408,34,Product 131,85,Calicut,5,425,Kerela,2015
409,35,Product 335,230,Goregaon East Mumbai,10,2300,Maharashtra,2015
410,35,Product 49,207,Goregaon East Mumbai,3,621,Maharashtra,2015
411,35,Product 33,90,Goregaon East Mumbai,7,630,Maharashtra,2015
412,35,Product 91,57,Goregaon East Mumbai,6,342,Maharashtra,2015
413,35,Product 74,162,Goregaon East Mumbai,8,1296,Maharashtra,2015
414,35,Product 197,158,Goregaon East Mumbai,8,1264,Maharashtra,2015
415,35,Product 474,123,Goregaon East Mumbai,7,861,Maharashtra,2015
416,35,Product 270,162,Goregaon East Mumbai,8,1296,Maharashtra,2015
417,35,Product 422,185,Goregaon East Mumbai,8,1480,Maharashtra,2015
418,35,Product 104,202,Goregaon East Mumbai,5,1010,Maharashtra,2015
419,35,Product 100,220,Goregaon East Mumbai,3,660,Maharashtra,2015
420,35,Product 173,123,Goregaon East Mumbai,6,738,Maharashtra,2015
421,35,Product 337,126,Goregaon East Mumbai,9,1134,Maharashtra,2015
422,36,Product 279,89,Badlapur,5,445,Maharashtra,2015
423,36,Product 442,185,Badlapur,9,1665,Maharashtra,2015
424,36,Product 233,94,Badlapur,10,940,Maharashtra,2015
425,36,Product 433,191,Badlapur,9,1719,Maharashtra,2015
426,36,Product 203,289,Badlapur,10,2890,Maharashtra,2015
427,36,Product 189,81,Badlapur,8,648,Maharashtra,2015
428,36,Product 61,109,Badlapur,4,436,Maharashtra,2015
429,36,Product 36,214,Badlapur,2,428,Maharashtra,2015
430,36,Product 444,185,Badlapur,8,1480,Maharashtra,2015
431,37,Product 478,249,Guntur,7,1743,Andhra Pradesh,2015
432,37,Product 421,104,Guntur,6,624,Andhra Pradesh,2015
433,37,Product 338,138,Guntur,2,276,Andhra Pradesh,2015
434,37,Product 497,225,Guntur,2,450,Andhra Pradesh,2015
435,37,Product 93,174,Guntur,2,348,Andhra Pradesh,2015
436,37,Product 36,214,Guntur,6,1284,Andhra Pradesh,2015
437,38,Product 239,170,Ahmedabad,10,1700,Gujarat,2015
438,38,Product 22,86,Ahmedabad,10,860,Gujarat,2015
439,38,Product 315,263,Ahmedabad,3,789,Gujarat,2015
440,38,Product 446,97,Ahmedabad,7,679,Gujarat,2015
441,38,Product 222,174,Ahmedabad,6,1044,Gujarat,2015
442,38,Product 302,243,Ahmedabad,5,1215,Gujarat,2015
443,38,Product 496,194,Ahmedabad,3,582,Gujarat,2015
444,38,Product 182,259,Ahmedabad,7,1813,Gujarat,2015
445,38,Product 335,230,Ahmedabad,3,690,Gujarat,2015
446,38,Product 193,145,Ahmedabad,1,145,Gujarat,2015
447,38,Product 365,289,Ahmedabad,1,289,Gujarat,2015
448,38,Product 485,271,Ahmedabad,1,271,Gujarat,2015
449,38,Product 2,263,Ahmedabad,10,2630,Gujarat,2015
